BodyweightKg,Division,WeightClassKg,Name,Sex,Event,Equipment,State,Team,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
73.2,Tn 17,75,Lucas Castro,M,SBD,Wraps,Cordoba,Olympia,150,160,170,170,100,-105,107.5,107.5,150,160,-162.5,160,437.5
75.5,Tn 17,82.5,Facundo Gudiño,M,SBD,Wraps,Cordoba,Olympia,125,-130,135,135,85,90,-95,90,150,160,-170,160,385
71,Tn 19,75,Ezequiel Mosquera,M,SBD,Wraps,Santa Cruz,Bestia,160,-170,170,170,80,90,95,95,150,162.5,175,175,440
104.5,Jun,110,Franco Carreras,M,SBD,Wraps,Cordoba,Olympia,-210,210,225,225,120,130,-140,130,215,225,230,230,585
87.8,Open,90,Pablo Correa,M,SBD,Wraps,Cordoba,Olympia,140,150,160,160,100,-107.5,-107.5,100,170,180,190,190,450
98,Open,100,Mario Reyna,M,SBD,Wraps,Cordoba,LyM,-180,190,200,200,120,135,145,145,200,220,235,235,580
77.3,M44,82.5,Guillermo Muñoz,M,SBD,Wraps,Cordoba,Olympia,180,195,210,210,90,100,105,105,180,200,-220,200,515
100,M49,100,Gustavo Coronel,M,SBD,Wraps,Cordoba,Soria,160,175,,175,105,-115,,105,170,190,210,210,490
108,M79,110,Jose Fernandez,M,SBD,Wraps,Cordoba,Soria,110,-120,120,120,105,115,-120,115,170,190,-200,190,425
78,M 49,82.5,Hector Strubbia,M,SBD,Multi-ply,Cordoba,Soria,150,160,,160,100,,,100,180,,,180,440
93.7,Tn17,100,Agustin Lupidi,M,SBD,Multi-ply,Cordoba,Soria,185,-200,200,200,95,105,-115,105,155,165,-172.5,165,470
89.6,Tn19,90,Pablo Perin,M,SBD,Multi-ply,Cordoba,Soria,170,190,-210,190,115,125,-130,125,180,195,-210,195,510
108,J/Op,110,Facundo Soria,M,SBD,Multi-ply,Cordoba,Soria,-310,330,-340,330,210,225,-230,225,285,300,310,310,865
66,Open,67.5,Gabriel Garrido,M,SBD,Multi-ply,San Luis,Pringles,150,155,160,160,80,85,95,95,170,175,185,185,440
74.6,Open,75,Santiago Mincciaca,M,SBD,Multi-ply,Cordoba,Soria,260,-275,-280,260,160,-175,-175,160,230,250,255,255,675
80.8,SubM,82.5,Sergio Barrientos,M,SBD,Multi-ply,San Luis,Pringles,-180,180,,180,170,180,-192.5,180,160,,,160,520
105.7,SubM,110,Juan Manavella,M,SBD,Multi-ply,Cordoba,Soria,230,250,,250,140,150,,150,230,250,,250,650
66.2,M49,67.5,Aldo Pirantonelli,M,SBD,Multi-ply,Cordoba,Soria,60,,,60,80,90,-100,90,100,,,100,250
104.9,M49,110,Antonio Liendo,M,SBD,Multi-ply,Cordoba,Olimpus,160,170,-180,170,-140,140,150,150,180,190,200,200,520
113,M44,125,Claudio Maidana,M,SBD,Multi-ply,Cordoba,Soria,250,270,,270,160,-175,,160,245,,,245,675
82.5,Jun,82.5,Jonathan Cativelli,M,B,Multi-ply,Cordoba,Soria,,,,,115,125,-135,125,,,,,125
97.4,Jun,100,Fernando Godoy,M,B,Multi-ply,Cordoba,Soria,,,,,110,125,-130,125,,,,,125
72.3,Open,75,Cristian Albornoz,M,B,Raw,Cordoba,Elite,,,,,105,110,115,115,,,,,115
80.8,SubM,82.5,Sergio Barrientos,M,B,Multi-ply,San Luis,Pringles,,,,,170,180,-192.5,180,,,,,180
66.9,M44,67.5,Mario Bianchi,M,B,Raw,Cordoba,Soria,,,,,100,112.5,115,115,,,,,115
79.2,M44,82.5,Roque Gallardo,M,B,Raw,Cordoba,Elite,,,,,97.5,107.5,,107.5,,,,,107.5
72,M79,75,Osvaldo Dunda,M,B,Raw,Cordoba,Soria,,,,,-45,45,47.5,47.5,,,,,47.5
90,ParaO,90,Lucas Basualdo,M,B,Raw,Cordoba,Soria,,,,,115,-117.5,117.5,117.5,,,,,117.5
