18-Feb-17,Pressing the Pieces Together-Kg Results,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg),Glossbrenner,Bench 1,Bench 2,Bench 3,Best Bench,Coeff Score,Age  & Coeff,Pl-Div-WtCl,,,,,,,,,,,,,,,,
Jacqueline Dildine AAPF,28,F_OR_AAPF,88,90,0.75695,85,87.5,-95,87.5,66.233125,0,1-F_OR_AAPF-90,,,,,,,,,,,,,,,,
Jacqueline Dildine APF,28,F_OR_APF,88,90,0.75695,85,87.5,-95,87.5,66.233125,0,1-F_OR_APF-90,,,,,,,,,,,,,,,,
Richard Butman,65,M_MR_6_AAPF,119.3,125,0.55165,75,85,-95,85,46.89025,69.39757,1-M_MR_6_AAPF,,,,,,,,,,,,,,,,
James Briggs AAPF,58,M_MR_4_AAPF,100,100,0.5813,125,135,137.5,137.5,79.92875,103.1880163,1-M_MR_4_AAPF,,,,,,,,,,,,,,,,
James Briggs APF,58,M_MR_4_APF,100,100,0.5813,125,135,137.5,137.5,79.92875,103.1880163,1-M_MR_4_APF,,,,,,,,,,,,,,,,
Dan Gibson SM,37,M_SR_APF,123.5,125,0.5472,-227.5,227.5,232.5,232.5,127.224,0,1-M_SR_APF,,,,,,,,,,,,,,,,
Tom Davenport AAPF,16,M_TR_2_AAPF,108.6,110,0.56455,130,132.5,140,140,79.037,0,1-M_TR_2_AAPF,,,,,,,,,,,,,,,,
Tom Davenport APF,16,M_TR_2_APF,108.6,110,0.56455,130,132.5,140,140,79.037,0,1-M_TR_2_APF,,,,,,,,,,,,,,,,
Noah Schor,16,M_TR_2_APF,87.9,90,0.62225,105,110,115,115,71.55875,0,2-M_TR_2_APF,,,,,,,,,,,,,,,,
Jacob Stone,4,M_Guest,17.4,52,#N/A,2.5,3,3.5,3.5,#N/A,0,1-M_Guest-52,,,,,,,,,,,,,,,,
Ryan Erb,28,M_OR_AAPF,74.25,75,0.69335,115,120,122.5,122.5,84.935375,0,1-M_OR_AAPF-75,,,,,,,,,,,,,,,,
Delvin Jennings,33,M_OR_AAPF,107,110,0.5671,182.5,185,187.5,187.5,106.33125,0,1-M_OR_AAPF-110,,,,,,,,,,,,,,,,
Nick Marshall,26,M_OR_AAPF,120,125,0.55095,40,-47.5,47.5,47.5,26.170125,0,1-M_OR_AAPF-125,,,,,,,,,,,,,,,,
Dan Gibson Open,37,M_OR_APF,123.5,125,0.5472,-227.5,227.5,232.5,232.5,127.224,0,1-M_OR_APF-125,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
