Name,Age,Sex,Division,WeightClassKg,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Equipment,Event,Place
Finley O'Neal,16,F,F_TCR_2_APF,90,89.4,300,-325,325,325,125,135,-140,135,250,275,300,300,760,Wraps,SBD,1
Trevor Miller,13,M,M_TCR_1_APF,67.5,65.5,185,-200,225,225,75,90,-105,90,240,255,270,270,585,Wraps,SBD,1
Tank Bishop,13,M,M_TR_1_APF,67.5,66.9,135,165,205,205,135,165,185,185,205,250,305,305,695,Raw,SBD,1
Noah Lillis,20,M,M_JCR_APF,100,93.2,275,300,350,350,135,175,-185,175,315,355,-400,355,880,Wraps,SBD,1
Jimmy Bishop,70,M,M_MES_7_APF,100,94.3,385,435,465,465,195,-225,225,225,375,-420,-420,375,1065,Single-ply,SBD,1
Kaden Byrd,18,M,M_TCR_3_APF,82.5,81.4,225,300,-315,300,205,-230,-230,205,350,405,-450,405,910,Wraps,SBD,1
Billy Sigrest,26,M,M_OEM_APF,90,89.8,525,565,-620,565,225,300,-365,225,405,430,450,450,1240,Multi-ply,SBD,1
Cody Ray,20,M,M_JCR_APF,90,89.1,440,500,525,525,235,285,305,305,435,475,495,495,1325,Wraps,SBD,1
Daniel Goldman,20,M,M_JCR_APF,82.5,79.4,355,385,425,425,245,275,,275,405,475,500,500,1200,Wraps,SBD,1
Ed Davis,45,M,M_MCR_2_APF,140+,147,515,575,-620,575,330,-375,-375,330,450,500,555,555,1460,Wraps,SBD,1
Robbie Fox,27,M,M_OCR_APF,100,94.8,500,575,-640,500,315,345,375,375,535,570,600,600,1475,Wraps,SBD,1
Abby Howard,15,F,F_TCR_1_APF,67.5,66.2,,,,,125,-140,140,140,,,,,140,Wraps,B,1
Robert Wilkerson,37,M,M_SEM_APF,67.5,64,,,,,555,600,-605,600,,,,,600,Multi-ply,B,1
Amanda Bond,40,F,F_MR_1_APF,75,72.8,,,,,,,,,135,185,235,235,235,Raw,D,1
Abby Howard,15,F,F_TCR_1_APF,67.5,66.2,,,,,,,,,275,305,335,335,335,Wraps,D,1
Ryan Moore,26,M,M_OR_APF,100,99.1,,,,,,,,,375,400,425,425,425,Raw,D,1
Matt Fryfogle,35,M,M_OR_APF,140,137.2,,,,,,,,,700,725,760,760,760,Raw,D,1
