Name,Age,Sex,Division,Equipment,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Place
Leslie Watson,,F,,,46.9,48,90,62.5,110,262.5,SBD,1
Puta Mansy,,F,,,72.8,75,110,50,147.5,307.5,SBD,1
Hanne Bingle,,F,,,95,90+,135,100,145,380,SBD,1
Barrie Brown,,M,,,60,60,147.5,85,130,362.5,SBD,1
Budgie Mullan,,M,,,66.6,67.5,142.5,85,167.5,395,SBD,1
David Mannering,,M,,,73.9,75,300,175,255,730,SBD,1
Mitch Ravenscroft,,M,,,74.5,75,180,115,160,455,SBD,2
Michael Flynn,,M,Junior,,71.4,75,80,80,160,320,SBD,1
Lee Cuter,,M,,,80,82.5,60,60,60,180,SBD,1
Daniel Cook,,M,,,88.6,90,220,130,200,550,SBD,1
Chris Jenkins,,M,,,89.7,90,70,60,335,465,SBD,2
Tony Hale,,M,,,95.7,100,300,180,225,705,SBD,1
Wayne Medhurst,,M,,,97.9,100,250,140,230,620,SBD,2
Nick Baker,,M,T19,,95,100,200,120,256,576,SBD,1
Matt Griffiths,,M,,,107.6,110,305,200,300,805,SBD,1
James Godber,,M,,,115.4,125,255,140,265,660,SBD,1
Ben Williams,,M,,,119.1,125,100,220,300,620,SBD,2
Alan Collins,,M,,,68,75,,95,,95,B,1
Zsott Borbas,,M,,,81.8,82.5,,180,,180,B,1
Pavol Hidasy,,M,,,109.7,110,,220,,220,B,1
Daniel Mehmet,,M,,,108.9,110,,180,,180,B,2
Lee Albert,,M,,,119,125,,210,,210,B,1
Andy Gower,,M,,,122.6,125,,170,,170,B,2
Andy Csiszar,,M,,,,,,170,275,445,BD,
Daniel Mehmet,,M,,,108.9,110,,180,265,445,BD,1
Chris Jenkins,,M,,,89.7,90,,60,370,430,BD,1
Nathan Scott,,M,,,,,,140,277.5,417.5,BD,
