Name,WeightClassKg,Division,Sex,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
M. Hillebeitel,,Open,F,170,90,250,510,SBD,Single-ply,1
M. Schlossnagel,52,Open,M,185,140,185,510,SBD,Single-ply,1
Norbert Paterniti,56,Open,M,450,240,485,1175,SBD,Single-ply,1
A. Danko,60,Open,M,280,195,340,815,SBD,Single-ply,1
A. Williamson,67.5,Open,M,420,245,460,1125,SBD,Single-ply,1
J. Anderson,67.5,Open,M,360,265,405,1030,SBD,Single-ply,2
L. Zelepok,67.5,Open,M,230,225,325,780,SBD,Single-ply,3
S. Wetzel,75,Open,M,405,390,415,1210,SBD,Single-ply,1
P. Russin,75,Open,M,355,245,315,915,SBD,Single-ply,2
B. Gold,75,Open,M,330,185,360,875,SBD,Single-ply,3
P. Seybert,82.5,Open,M,575,325,590,1490,SBD,Single-ply,1
K. Korezynski,82.5,Open,M,490,325,455,1270,SBD,Single-ply,2
C. Torongeau,82.5,Open,M,475,280,495,1250,SBD,Single-ply,3
C. Kaczmark,82.5,Open,M,400,285,475,1160,SBD,Single-ply,4
B. Chandradg,82.5,Open,M,315,270,435,1020,SBD,Single-ply,5
Steve Uhas,90,Open,M,710,330,635,1675,SBD,Single-ply,1
M. Vasalani,90,Open,M,520,360,530,1410,SBD,Single-ply,2
L. Howell,90,Open,M,485,295,495,1275,SBD,Single-ply,3
B. Schrecongost,90,Open,M,400,300,530,1230,SBD,Single-ply,4
H. Madison,100,Open,M,610,405,635,1650,SBD,Single-ply,1
L. Stinson,100,Open,M,600,355,650,1605,SBD,Single-ply,2
K. Zulick,100,Open,M,550,350,600,1500,SBD,Single-ply,3
B. Wagner,100,Open,M,530,330,630,1490,SBD,Single-ply,4
J. Williams,100,Open,M,465,360,500,1325,SBD,Single-ply,5
Mike Smith,110,Open,M,810,390,640,1840,SBD,Single-ply,1
C. Lamanti,110,Open,M,,,,,SBD,Single-ply,DQ
Mark Voit,125,Open,M,700,475,660,1835,SBD,Single-ply,1
K. Collett,125,Open,M,440,345,455,1240,SBD,Single-ply,3
G. Boyd,125,Open,M,530,395,660,1585,SBD,Single-ply,2
