Name,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Division,Event,Equipment,Place
H. Yoshida,44,132.5,65,130,327.5,F,Open,SBD,Single-ply,1
J. Kitamura,44,90,52.5,95,237.5,F,Open,SBD,Single-ply,2
R. Euhara,48,120,72.5,115,307.5,F,Open,SBD,Single-ply,1
E. Suzuki,48,110,57.5,115,282.5,F,Open,SBD,Single-ply,2
C. Abe,48,95,45,125,265,F,Open,SBD,Single-ply,3
N. Shirasaka,52,110,67.5,145,322.5,F,Open,SBD,Single-ply,1
Y. Miyazawa,52,85,65,105,255,F,Open,SBD,Single-ply,2
K. Ishikawa,56,130,82.5,145,357.5,F,Open,SBD,Single-ply,1
M. Hoshi,56,110,60,130,300,F,Open,SBD,Single-ply,2
M. Nakamura,56,95,55,120,270,F,Open,SBD,Single-ply,3
E. Himeno,60,155,87.5,175,417.5,F,Open,SBD,Single-ply,1
S. Kinodo,60,105,62.5,120,287.5,F,Open,SBD,Single-ply,2
Y. Narita,60,90,50,115,255,F,Open,SBD,Single-ply,3
H. Nagata,60,80,40,110,230,F,Open,SBD,Single-ply,4
U. Kunihiro,67.5,155,95,180,430,F,Open,SBD,Single-ply,1
M. Yamagashi,67.5,145,72.5,160,377.5,F,Open,SBD,Single-ply,2
M. Nagakawa,67.5,130,62.5,150,342.5,F,Open,SBD,Single-ply,3
S. Satoh,67.5,105,52.5,115,272.5,F,Open,SBD,Single-ply,4
T. Morooka,75,160,75,170,405,F,Open,SBD,Single-ply,1
H. Yanai,75,140,80,135,355,F,Open,SBD,Single-ply,2
S. Tanaka,75,105,55,140,300,F,Open,SBD,Single-ply,3
M. Owada,75,85,40,90,215,F,Open,SBD,Single-ply,4
F. Itoh,90+,150,90,160,400,F,Open,SBD,Single-ply,1
